"Dictamen"; "Antiguedad.Trabajo"; "Vivienda"    ; "Estado.civil"; "Registros"; "Tipo.trabajo"; "V7"    ; "V8"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    6; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   13; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   11; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    0; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Auto"
"positiu" ;                   13; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    3; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                   12; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "contr_privat";              4;           1; "separat"     ; "reg_no"; "Auto"
"positiu" ;                   27; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   18; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "escriptura"  ;              4;           1; "separat"     ; "reg_no"; "Auto"
"negatiu" ;                    0; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   12; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    0; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   10; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   10; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    0; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   16; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    0; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                   13; "lloguer"     ;              4;           2; "separat"     ; "reg_si"; "Empleat"
"positiu" ;                   19; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   40; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    9; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   12; "pares"       ;              4;           2; "separat"     ; "reg_si"; "Empleat"
"negatiu" ;                    0; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                   14; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   10; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Auto"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    1; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   27; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    0; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    8; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Auto"
"positiu" ;                    5; "altres viv"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    9; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   14; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              1;           2; "solter"      ; "reg_si"; "Auto"
"positiu" ;                   22; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    6; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                   23; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    8; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   11; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   25; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    2; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    9; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    0; "lloguer"     ;              4;           2; "separat"     ; "reg_si"; "Auto"
"positiu" ;                   18; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    0; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   14; "ignora_cont" ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   19; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   11; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   13; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    9; "lloguer"     ;              1;           2; "solter"      ; "reg_si"; "Empleat"
"positiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "altres viv"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                   21; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   12; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                    9; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   24; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    1; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   19; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   19; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    4; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    2; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   11; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   23; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    4; "altres viv"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    5; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   15; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    1; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    9; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                    4; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   10; "altres viv"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    4; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Other"
"positiu" ;                    1; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   32; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                   20; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    6; "lloguer"     ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"negatiu" ;                    4; "lloguer"     ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                    1; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    2; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   25; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    1; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "VivUnkown"   ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                   13; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                   10; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   10; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Empleat"
"positiu" ;                    1; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"negatiu" ;                    1; "escriptura"  ;              4;           2; "separat"     ; "reg_si"; "Empleat"
"negatiu" ;                    0; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    5; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    3; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    0; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   21; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    5; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   13; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   18; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    0; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Other"
"positiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   18; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   12; "escriptura"  ;              1;           2; "solter"      ; "reg_si"; "Auto"
"positiu" ;                   25; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    3; "pares"       ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    2; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    2; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   15; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              4;           1; "separat"     ; "reg_no"; "Empleat"
"positiu" ;                    4; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    9; "lloguer"     ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    4; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    2; "escriptura"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"positiu" ;                    1; "altres viv"  ;              1;           1; "solter"      ; "reg_no"; "Empleat"
"negatiu" ;                    2; "lloguer"     ;              2;           2; "casat"       ; "reg_si"; "Auto"
"positiu" ;                    2; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    2; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    3; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                    8; "contr_privat";              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              3;           1; "vidu"        ; "reg_no"; "Empleat"
"positiu" ;                   10; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   20; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    5; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   20; "pares"       ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   12; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   13; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   11; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   17; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                    6; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"positiu" ;                   22; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Auto"
"positiu" ;                   25; "lloguer"     ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                    8; "escriptura"  ;              2;           1; "casat"       ; "reg_no"; "Empleat"
"negatiu" ;                   19; "escriptura"  ;              2;           2; "casat"       ; "reg_si"; "Auto"
