"hotel"       , "is_canceled", "lead_time", "arrival_date_year", "arrival_date_month", "arrival_date_week_number", "arrival_date_day_of_month", "stays_in_weekend_nights", "stays_in_week_nights", "adults", "children", "babies", "meal"     , "country", "market_segment", "distribution_channel", "is_repeated_guest", "previous_cancellations", "previous_bookings_not_canceled", "reserved_room_type", "assigned_room_type", "booking_changes", "deposit_type", "agent", "company", "days_in_waiting_list", "customer_type"  , "adr" , "required_car_parking_spaces", "total_of_special_requests", "reservation_status", "reservation_status_date"
"City Hotel"  ,             0,          18,                2016, "January"           ,                          1,                           2,                         0,                      1,        2,          0,        0, "BB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 109   ,                             0,                           1, "Check-Out"         , "2016-01-03"
"City Hotel"  ,             0,           1,                2017, "January"           ,                          2,                          12,                         0,                      2,        2,          1,        0, "BB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 1, "No Deposit"  , "159"  , "412"    ,                      0, "Transient"      , 104.5 ,                             0,                           0, "Check-Out"         , "2017-01-14"
"Resort Hotel",             1,         248,                2016, "December"          ,                         52,                          22,                         2,                      3,        1,          0,        0, "BB"       , "FRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      ,  55.8 ,                             0,                           0, "Canceled"          , "2016-07-19"
"City Hotel"  ,             1,          74,                2016, "October"           ,                         43,                          21,                         0,                      2,        2,          0,        0, "BB"       , "ESP"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 132.3 ,                             0,                           0, "Canceled"          , "2016-08-08"
"City Hotel"  ,             1,         113,                2016, "May"               ,                         23,                          31,                         0,                      3,        1,          0,        0, "BB"       , "PRT"    , "Corporate"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "NULL" , "202"    ,                      0, "Transient"      , 100   ,                             0,                           0, "Canceled"          , "2016-04-11"
"City Hotel"  ,             0,           9,                2016, "September"         ,                         37,                           8,                         0,                      1,        2,          0,        0, "BB"       , "POL"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "B"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 168   ,                             1,                           3, "Check-Out"         , "2016-09-09"
"Resort Hotel",             0,          80,                2017, "June"              ,                         23,                           9,                         2,                      2,        2,          0,        0, "FB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        1,                                0, "F"                 , "F"                 ,                 1, "No Deposit"  , "250"  , "NULL"   ,                      0, "Transient"      , 195   ,                             0,                           0, "Check-Out"         , "2017-06-13"
"Resort Hotel",             1,         246,                2015, "September"         ,                         36,                           5,                         2,                      5,        2,          0,        0, "BB"       , "NULL"   , "Offline TA/TO" , "TA/TO"               ,                   0,                        1,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "96"   , "NULL"   ,                      0, "Transient-Party",  58.95,                             0,                           0, "Canceled"          , "2015-06-17"
"Resort Hotel",             0,         108,                2016, "August"            ,                         34,                          16,                         1,                      5,        3,          0,        0, "BB"       , "AGO"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 1, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      , 234   ,                             0,                           1, "Check-Out"         , "2016-08-22"
"City Hotel"  ,             0,         212,                2016, "May"               ,                         21,                          20,                         2,                      3,        2,          0,        0, "BB"       , "DEU"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "21"   , "NULL"   ,                      0, "Transient-Party",  78   ,                             0,                           1, "Check-Out"         , "2016-05-25"
"Resort Hotel",             1,         117,                2016, "October"           ,                         44,                          27,                         2,                      5,        2,          0,        0, "BB"       , "IRL"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 4, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient-Party",  66.02,                             0,                           0, "Canceled"          , "2016-07-25"
"Resort Hotel",             0,           0,                2016, "November"          ,                         48,                          25,                         0,                      1,        2,          0,        0, "HB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      ,  93   ,                             0,                           1, "Check-Out"         , "2016-11-26"
"City Hotel"  ,             1,         419,                2016, "September"         ,                         36,                           1,                         0,                      2,        2,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "1"    , "NULL"   ,                      0, "Transient"      ,  62   ,                             0,                           0, "Canceled"          , "2015-10-21"
"City Hotel"  ,             0,         165,                2016, "July"              ,                         32,                          31,                         2,                      4,        2,          0,        0, "BB"       , "CN"     , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "3"    , "NULL"   ,                      0, "Transient-Party",  72.25,                             0,                           2, "Check-Out"         , "2016-08-06"
"Resort Hotel",             1,         211,                2016, "September"         ,                         37,                           7,                         0,                      3,        1,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "Non Refund"  , "1"    , "NULL"   ,                      0, "Transient"      ,  89   ,                             0,                           0, "Canceled"          , "2016-02-09"
"Resort Hotel",             1,         177,                2017, "August"            ,                         33,                          18,                         2,                      7,        2,          0,        0, "BB"       , "RUS"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 2, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      , 200   ,                             0,                           0, "Canceled"          , "2017-03-09"
"City Hotel"  ,             0,          31,                2017, "June"              ,                         26,                          27,                         0,                      1,        1,          0,        0, "BB"       , "JPN"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      ,  99   ,                             0,                           3, "Check-Out"         , "2017-06-28"
"City Hotel"  ,             0,           9,                2016, "June"              ,                         23,                           1,                         0,                      1,        1,          0,        0, "BB"       , "NLD"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "7"    , "NULL"   ,                      0, "Transient"      ,  97.02,                             0,                           1, "Check-Out"         , "2016-06-02"
"Resort Hotel",             0,         225,                2016, "May"               ,                         22,                          28,                         1,                      1,        2,          0,        0, "HB"       , "DEU"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "D"                 ,                 0, "No Deposit"  , "298"  , "NULL"   ,                      0, "Transient-Party",  85   ,                             0,                           0, "Check-Out"         , "2016-05-30"
"City Hotel"  ,             0,          14,                2016, "February"          ,                          6,                           3,                         0,                      3,        2,          0,        0, "BB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "8"    , "NULL"   ,                      0, "Transient"      ,  82.8 ,                             0,                           1, "Check-Out"         , "2016-02-06"
"Resort Hotel",             0,           4,                2016, "October"           ,                         44,                          24,                         1,                      3,        2,          0,        0, "BB"       , "PRT"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "6"    , "NULL"   ,                      0, "Transient"      ,  46   ,                             0,                           1, "Check-Out"         , "2016-10-28"
"City Hotel"  ,             1,         350,                2016, "June"              ,                         25,                          17,                         0,                      2,        2,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "29"   , "NULL"   ,                      0, "Transient"      , 140   ,                             0,                           0, "Canceled"          , "2015-08-11"
"Resort Hotel",             0,         243,                2016, "October"           ,                         41,                           6,                         2,                      3,        1,          0,        0, "BB"       , "IRL"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "91"   , "NULL"   ,                      0, "Transient-Party",  55.1 ,                             0,                           0, "Check-Out"         , "2016-10-11"
"City Hotel"  ,             0,          16,                2017, "March"             ,                          9,                           2,                         0,                      1,        2,          2,        0, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "D"                 , "D"                 ,                 2, "No Deposit"  , "NULL" , "NULL"   ,                      0, "Transient"      ,  64   ,                             0,                           0, "Check-Out"         , "2017-03-03"
"Resort Hotel",             1,          45,                2015, "July"              ,                         27,                           2,                         2,                      3,        2,          0,        0, "BB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "G"                 , "G"                 ,                 0, "No Deposit"  , "241"  , "NULL"   ,                      0, "Transient"      , 117.81,                             0,                           0, "Canceled"          , "2015-05-18"
"Resort Hotel",             0,           1,                2016, "June"              ,                         23,                           1,                         0,                      1,        1,          0,        0, "BB"       , "NULL"   , "Direct"        , "Direct"              ,                   0,                        0,                                2, "A"                 , "A"                 ,                 0, "No Deposit"  , "NULL" , "NULL"   ,                      0, "Transient"      ,  75   ,                             0,                           0, "Check-Out"         , "2016-06-02"
"City Hotel"  ,             0,           6,                2017, "February"          ,                          7,                          13,                         1,                      0,        2,          0,        0, "HB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "14"   , "NULL"   ,                      0, "Transient"      , 143   ,                             0,                           1, "Check-Out"         , "2017-02-14"
"City Hotel"  ,             1,         111,                2017, "August"            ,                         32,                           7,                         1,                      3,        2,          0,        0, "HB"       , "ITA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 183   ,                             0,                           3, "Canceled"          , "2017-04-27"
"City Hotel"  ,             0,         127,                2017, "April"             ,                         14,                           7,                         0,                      2,        2,          2,        0, "BB"       , "SWE"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "F"                 ,                 1, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 220   ,                             0,                           3, "Check-Out"         , "2017-04-09"
"City Hotel"  ,             1,         158,                2016, "May"               ,                         22,                          24,                         0,                      2,        1,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "37"   , "NULL"   ,                     31, "Transient"      , 130   ,                             0,                           0, "Canceled"          , "2016-01-18"
"City Hotel"  ,             0,           0,                2016, "July"              ,                         31,                          29,                         0,                      1,        2,          0,        0, "SC"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      ,  89   ,                             0,                           0, "Check-Out"         , "2016-07-30"
"City Hotel"  ,             1,          37,                2016, "October"           ,                         42,                          13,                         0,                      3,        1,          0,        0, "BB"       , "PRT"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "56"   , "NULL"   ,                      0, "Transient-Party",  95   ,                             0,                           0, "Canceled"          , "2016-09-06"
"City Hotel"  ,             0,           0,                2015, "October"           ,                         44,                          27,                         0,                      2,        1,          0,        0, "BB"       , "PRT"    , "Corporate"     , "Corporate"           ,                   1,                        0,                                1, "A"                 , "A"                 ,                 1, "No Deposit"  , "40"   , "NULL"   ,                      0, "Transient"      ,  65   ,                             0,                           0, "Check-Out"         , "2015-10-29"
"City Hotel"  ,             0,          17,                2017, "March"             ,                         12,                          19,                         2,                      5,        2,          0,        0, "BB"       , "FRA"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 1, "No Deposit"  , "20"   , "NULL"   ,                      0, "Transient-Party",  75   ,                             0,                           1, "Check-Out"         , "2017-03-26"
"City Hotel"  ,             0,          11,                2015, "September"         ,                         38,                          13,                         2,                      2,        2,          0,        0, "BB"       , "FRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 1, "No Deposit"  , "11"   , "NULL"   ,                      0, "Transient"      ,  94.6 ,                             0,                           0, "Check-Out"         , "2015-09-17"
"City Hotel"  ,             0,          17,                2015, "September"         ,                         39,                          26,                         2,                      1,        2,          0,        0, "BB"       , "ITA"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 1, "No Deposit"  , "1"    , "NULL"   ,                      0, "Transient-Party", 170   ,                             0,                           0, "Check-Out"         , "2015-09-29"
"Resort Hotel",             0,         225,                2016, "May"               ,                         22,                          26,                         1,                      3,        2,          0,        0, "BB"       , "GBR"    , "Groups"        , "Direct"              ,                   0,                        0,                                0, "A"                 , "C"                 ,                 2, "No Deposit"  , "NULL" , "223"    ,                      0, "Transient-Party",  72   ,                             1,                           0, "Check-Out"         , "2016-05-30"
"Resort Hotel",             0,           0,                2017, "February"          ,                          8,                          24,                         0,                      1,        2,          0,        0, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "250"  , "NULL"   ,                      0, "Transient"      ,  68   ,                             0,                           0, "Check-Out"         , "2017-02-25"
"Resort Hotel",             0,          81,                2016, "March"             ,                         11,                           9,                         0,                      3,        2,          0,        0, "HB"       , "GBR"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "D"                 ,                 1, "No Deposit"  , "115"  , "NULL"   ,                      0, "Transient-Party",  86.55,                             0,                           0, "Check-Out"         , "2016-03-12"
"Resort Hotel",             0,           5,                2017, "August"            ,                         35,                          30,                         0,                      1,        2,          0,        0, "BB"       , "NLD"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      , 171   ,                             0,                           1, "Check-Out"         , "2017-08-31"
"Resort Hotel",             1,         248,                2016, "December"          ,                         52,                          22,                         2,                      3,        1,          0,        0, "BB"       , "FRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      ,  55.8 ,                             0,                           0, "Canceled"          , "2016-07-19"
"City Hotel"  ,             0,          48,                2016, "March"             ,                         11,                           9,                         0,                      3,        2,          0,        0, "BB"       , "BRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 105.3 ,                             0,                           1, "Check-Out"         , "2016-03-12"
"Resort Hotel",             1,          53,                2016, "November"          ,                         46,                          12,                         2,                      2,        2,          0,        0, "BB"       , "PRT"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "241"  , "NULL"   ,                      0, "Transient"      ,  40.81,                             0,                           1, "Canceled"          , "2016-09-29"
"Resort Hotel",             0,          62,                2017, "April"             ,                         16,                          19,                         1,                      4,        1,          0,        0, "BB"       , "ITA"    , "Groups"        , "Corporate"           ,                   1,                        0,                                0, "A"                 , "D"                 ,                 1, "No Deposit"  , "NULL" , "307"    ,                      0, "Transient-Party",  85   ,                             1,                           0, "Check-Out"         , "2017-04-24"
"Resort Hotel",             0,           3,                2016, "September"         ,                         36,                           2,                         0,                      2,        2,          0,        0, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   1,                        0,                                1, "A"                 , "C"                 ,                 0, "No Deposit"  , "250"  , "NULL"   ,                      0, "Transient"      , 161   ,                             1,                           2, "Check-Out"         , "2016-09-04"
"Resort Hotel",             0,         101,                2017, "February"          ,                          8,                          25,                         2,                      1,        2,          2,        0, "HB"       , "NULL"   , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "G"                 , "G"                 ,                 0, "No Deposit"  , "240"  , "NULL"   ,                      0, "Transient"      , 130   ,                             0,                           0, "Check-Out"         , "2017-02-28"
"City Hotel"  ,             1,         127,                2017, "March"             ,                         10,                          11,                         1,                      1,        2,          0,        0, "BB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "58"   , "NULL"   ,                      0, "Transient"      ,  80   ,                             0,                           0, "Canceled"          , "2017-01-10"
"City Hotel"  ,             1,         199,                2017, "July"              ,                         27,                           6,                         2,                      3,        2,          0,        0, "SC"       , "GBR"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      ,  89.1 ,                             0,                           1, "Canceled"          , "2017-02-25"
"City Hotel"  ,             1,          50,                2015, "October"           ,                         43,                          24,                         0,                      1,        2,          0,        0, "HB"       , "PRT"    , "Groups"        , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "Non Refund"  , "NULL" , "NULL"   ,                      0, "Transient"      , 146   ,                             0,                           0, "Canceled"          , "2015-10-15"
"City Hotel"  ,             0,          73,                2017, "June"              ,                         23,                           7,                         2,                      4,        2,          0,        0, "SC"       , "ARG"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 149   ,                             0,                           0, "Check-Out"         , "2017-06-13"
"City Hotel"  ,             0,          70,                2017, "March"             ,                         13,                          29,                         0,                      4,        2,          0,        0, "BB"       , "GBR"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "7"    , "NULL"   ,                      0, "Transient"      ,  74.29,                             0,                           1, "Check-Out"         , "2017-04-02"
"City Hotel"  ,             0,         115,                2017, "July"              ,                         30,                          23,                         2,                      4,        2,          0,        0, "BB"       , "GBR"    , "Corporate"     , "Corporate"           ,                   0,                        0,                                0, "E"                 , "E"                 ,                 0, "No Deposit"  , "NULL" , "451"    ,                      0, "Transient"      , 110   ,                             0,                           0, "Check-Out"         , "2017-07-29"
"City Hotel"  ,             0,          68,                2016, "August"            ,                         32,                           1,                         1,                      1,        3,          1,        0, "BB"       , "BEL"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "E"                 , "F"                 ,                 0, "No Deposit"  , "14"   , "NULL"   ,                      0, "Transient"      , 189.95,                             1,                           0, "Check-Out"         , "2016-08-03"
"City Hotel"  ,             0,           3,                2016, "July"              ,                         28,                           4,                         1,                      0,        2,          0,        0, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "14"   , "NULL"   ,                      0, "Transient"      , 158   ,                             1,                           0, "Check-Out"         , "2016-07-05"
"City Hotel"  ,             0,          18,                2015, "December"          ,                         51,                          18,                         0,                      1,        1,          0,        0, "BB"       , "PRT"    , "Corporate"     , "Corporate"           ,                   1,                        0,                                7, "A"                 , "A"                 ,                 0, "No Deposit"  , "NULL" , "40"     ,                      0, "Transient"      ,  74   ,                             0,                           0, "Check-Out"         , "2015-12-19"
"City Hotel"  ,             0,          32,                2015, "November"          ,                         47,                          20,                         0,                      2,        1,          0,        0, "BB"       , "PRT"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "119"  , "NULL"   ,                      0, "Transient-Party",  73   ,                             0,                           0, "Check-Out"         , "2015-11-22"
"City Hotel"  ,             1,         120,                2017, "June"              ,                         25,                          18,                         2,                      2,        1,          0,        0, "BB"       , "FRA"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 118.86,                             0,                           1, "Canceled"          , "2017-02-21"
"City Hotel"  ,             0,          11,                2017, "June"              ,                         23,                           7,                         0,                      1,        2,          1,        0, "BB"       , "ISR"    , "Online TA"     , "TA/TO"               ,                   0,                        0,                                0, "F"                 , "F"                 ,                 1, "No Deposit"  , "9"    , "NULL"   ,                      0, "Transient"      , 230   ,                             0,                           0, "Check-Out"         , "2017-06-08"
"Resort Hotel",             0,           0,                2017, "January"           ,                          4,                          27,                         1,                      2,        2,          0,        1, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "G"                 , "G"                 ,                 2, "No Deposit"  , "250"  , "NULL"   ,                      0, "Transient-Party",  93   ,                             0,                           0, "Check-Out"         , "2017-01-30"
"Resort Hotel",             0,          89,                2015, "August"            ,                         33,                          10,                         1,                      5,        4,          0,        1, "BB"       , "PRT"    , "Direct"        , "Direct"              ,                   0,                        0,                                0, "H"                 , "H"                 ,                 3, "No Deposit"  , "NULL" , "NULL"   ,                      0, "Transient"      , 190   ,                             0,                           1, "Check-Out"         , "2015-08-16"
"Resort Hotel",             0,         171,                2016, "June"              ,                         26,                          25,                         2,                      5,        2,          0,        0, "BB"       , "GBR"    , "Offline TA/TO" , "TA/TO"               ,                   0,                        0,                                0, "D"                 , "D"                 ,                 2, "No Deposit"  , "143"  , "NULL"   ,                      0, "Transient"      ,  70   ,                             0,                           0, "Check-Out"         , "2016-07-02"
"Resort Hotel",             0,           1,                2016, "March"             ,                         12,                          15,                         0,                      1,        1,          0,        0, "BB"       , "NULL"   , "Corporate"     , "Corporate"           ,                   0,                        0,                                0, "A"                 , "A"                 ,                 0, "No Deposit"  , "NULL" , "165"    ,                      0, "Transient"      ,  30   ,                             0,                           1, "Check-Out"         , "2016-03-16"
